Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Agenda Request,500,1573,1258,2868,3456,4502,501,5402,0.000%,19.86729,11771.35,5.63
TOTAL,500,1573,1258,2868,3456,4502,501,5402,0.000%,19.86729,11771.35,5.63
