Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Agenda Request,2500,1471,1149,2799,3237,4146,496,6015,0.000%,19.77191,11716.54,5.60
TOTAL,2500,1471,1149,2799,3237,4146,496,6015,0.000%,19.77191,11716.54,5.60
