Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Agenda Request,750,2311,1570,4794,5467,6501,489,7471,0.000%,21.48320,12727.55,6.08
TOTAL,750,2311,1570,4794,5467,6501,489,7471,0.000%,21.48320,12727.55,6.08
