Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Registration Request,2500,7188,7691,9453,9866,10461,1472,11403,0.000%,6.02949,6027.00,1.66
TOTAL,2500,7188,7691,9453,9866,10461,1472,11403,0.000%,6.02949,6027.00,1.66
