Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Registration Request,500,7232,7795,9126,9412,9753,1379,10001,0.000%,5.99794,5992.39,1.65
TOTAL,500,7232,7795,9126,9412,9753,1379,10001,0.000%,5.99794,5992.39,1.65
