Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Registration Request,750,11227,11405,14507,15208,16616,1905,20212,0.000%,6.01434,6010.19,1.66
TOTAL,750,11227,11405,14507,15208,16616,1905,20212,0.000%,6.01434,6010.19,1.66
