Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Pro Request,250,539,518,655,774,941,410,1386,0.000%,17.33102,7916.71,4.69
TOTAL,250,539,518,655,774,941,410,1386,0.000%,17.33102,7916.71,4.69
