Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Pro Request,2500,705,679,965,1053,1217,406,1528,0.000%,28.09431,12825.17,7.60
TOTAL,2500,705,679,965,1053,1217,406,1528,0.000%,28.09431,12825.17,7.60
