Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Request,7500,1384,1292,2382,2719,3403,225,5349,0.000%,63.69589,600.94,18.41
TOTAL,7500,1384,1292,2382,2719,3403,225,5349,0.000%,63.69589,600.94,18.41
