Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Request,5000,695,638,1135,1303,1695,238,2546,0.000%,61.56119,580.80,17.80
TOTAL,5000,695,638,1135,1303,1695,238,2546,0.000%,61.56119,580.80,17.80
