Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Request,10000,2131,2035,3596,4110,5149,237,9948,0.000%,64.11119,604.86,18.53
TOTAL,10000,2131,2035,3596,4110,5149,237,9948,0.000%,64.11119,604.86,18.53
