Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Request,10000,4229,3616,7796,9206,12357,288,19014,0.000%,37.96723,2846.83,10.97
TOTAL,10000,4229,3616,7796,9206,12357,288,19014,0.000%,37.96723,2846.83,10.97
