Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Request,7500,2986,2741,5230,6122,8010,307,11576,0.000%,37.80566,2834.64,10.93
TOTAL,7500,2986,2741,5230,6122,8010,307,11576,0.000%,37.80566,2834.64,10.93
