Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Request,7500,1235,1161,2054,2373,2975,229,4296,0.000%,69.16522,231.07,20.06
TOTAL,7500,1235,1161,2054,2373,2975,229,4296,0.000%,69.16522,231.07,20.06
