Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Request,10000,1830,1763,3042,3500,4323,242,6094,0.000%,71.42194,238.61,20.72
TOTAL,10000,1830,1763,3042,3500,4323,242,6094,0.000%,71.42194,238.61,20.72
