Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Request,5000,594,540,925,1089,1413,226,2111,0.000%,65.54970,218.99,19.01
TOTAL,5000,594,540,925,1089,1413,226,2111,0.000%,65.54970,218.99,19.01
