Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Event Request,750,1465,392,5350,1044.10,0.000%,30.12411,17866.13,8.09,607318.1
TOTAL,750,1465,392,5350,1044.10,0.000%,30.12411,17866.13,8.09,607318.1
