Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Event Request,2500,835,753,1282,1439,1861,385,2555,0.000%,25.60793,15177.89,6.88
TOTAL,2500,835,753,1282,1439,1861,385,2555,0.000%,25.60793,15177.89,6.88
